Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
16.68,2,0.2417468393919369366612166316,0.249685783363535,0.249685783363535,0.242041640027005,0.242041640027005,0.214674772173791,0.2232579062760579950983954678,0.1604326398563403950983954678,0.0628252664197176,7.7410879301193516389521468684,88.63539394892465187924320724,87.81984531326860193514880946,1598940000
16.69,2,0.2417353143562186139765293141,0.249672912041689,0.249672912041689,0.242030100936965,0.242030100936965,0.214636823461909,0.2232195314788516427547091063,0.1603705887188895427547091063,0.0628489427599621,7.7387575515299622257326076479,88.62300474728170550817297397,87.81010869564547588272002546,1599898000
16.70,2,0.2417238110885184461863917491,0.249660066574866,0.249660066574866,0.242018583641488,0.242018583641488,0.214598990645991,0.2231812734093360434705809175,0.1603086303268891434705809175,0.0628726430824469,7.7364309920756032555691582045,88.61063480591589622200614874,87.80038576399283763600358647,1600857000
16.71,2,0.2417123155503784068327170338,0.249647230845284,0.249647230845284,0.242007074084997,0.242007074084997,0.214561214917518,0.2231430727323133316827930204,0.1602467053451412316827930204,0.0628963673871721,7.734106549374103199427137341,88.59826616816005331806802177,87.79066150263128867815329384,1601815000
16.72,2,0.2417008418131779063008968707,0.249634422678059,0.249634422678059,0.241995586356032,0.241995586356032,0.214523603032101,0.2231050367604514727573322917,0.1601849210863147727573322917,0.0629201156741367,7.7317872951530678240997926548,88.58592294571833391303059679,87.78095616319869655947181744,1602774000
16.73,2,0.2416893828271837262498643872,0.249621630787154,0.249621630787154,0.241984113396261,0.241984113396261,0.214486034047342,0.2230670442311480010110825999,0.1601231562878058010110825999,0.0629438879433422,7.7294697529408112765954857472,88.57357682737211781835789166,87.77124598306064412965069046,1603733000
16.74,2,0.2416779325795393593476005449,0.249608850785099,0.249608850785099,0.241972649185496,0.241972649185496,0.214448554823265,0.2230291418227618712002117246,0.1600614576279742712002117246,0.0629676841947876,7.7271552574199249997504870175,88.56123776085252084259270679,87.76153932465998746122919483,1604691000
16.75,2,0.2416665130148385238973687326,0.249596105757995,0.249596105757995,0.241961215695091,0.241961215695091,0.214411196898476,0.2229913618603800270765773028,0.1599998574319072270765773028,0.0629915044284728,7.7248447320819488166161808681,88.54891717881899022182427972,87.75184573860475194324712683,1605650000
16.76,2,0.2416550982184305662851669090,0.249583367474639,0.249583367474639,0.241949786978794,0.241949786978794,0.214373895293452,0.2229536384188081176234397839,0.1599382897744096176234397839,0.0630153486443985,7.7225362857553014658567464956,88.536592680032329958308187,87.74214650637931223566085468,1606609000
16.77,2,0.2416437021215310081171346008,0.249570652221081,0.249570652221081,0.241938376984808,0.241938376984808,0.214336716711928,0.2229160387295215024054822433,0.1598768218869570024054822433,0.0630392168425645,7.7202318419258641226096139031,88.524289701343884109258601,87.73246286447069678294396191,1607567000
16.78,2,0.2416323267330508914187186853,0.249557961931022,0.249557961931022,0.241926987724495,0.241926987724495,0.214299658894875,0.2228785606023542232482254063,0.1598154515793842232482254063,0.06306310902297,7.7179313352961368776250078868,88.51204101755786680455181681,87.72282192518811100685413016,1608526000
16.79,2,0.2416209599708923799799891422,0.249545280526544,0.249545280526544,0.241915607101023,0.241915607101023,0.214262608050047,0.2228410897532654456886748918,0.1597540645676491456886748918,0.0630870251856163,7.7156314893155182018682672503,88.49970065208946466228299647,87.71310258841255878744903267,1609484000
16.80,2,0.2416096039499626788503481017,0.249532616107074,0.249532616107074,0.241904237231879,0.241904237231879,0.214225735440819,0.2228037976239695841532074230,0.1596928322934670841532074230,0.0631109653305025,7.7133372128734208902617079924,88.48743458366601592083631495,87.70344267317227631428575163,1610443000
16.81,2,0.2415982775771553575409069479,0.249519984013229,0.249519984013229,0.241892897047011,0.241892897047011,0.21418893795182,0.2227665816972891097308355504,0.1596316522396605097308355504,0.0631349294576286,7.7110455665151263856416005104,88.47516804164255353613204115,87.69378002029745979906860625,1611401000
16.82,2,0.2415869608834850846367592347,0.249507363320917,0.249507363320917,0.241881566553084,0.241881566553084,0.214152189278588,0.2227294149545461283780092630,0.1595704973875510283780092630,0.0631589175669951,7.7087557736585531589732836085,88.46290124499048268499826221,87.6841147313025616258115431,1612360000
16.83,2,0.2415756588397881581416526145,0.24949476181991,0.24949476181991,0.241870250726995,0.241870250726995,0.214115569884466,0.2226923780819264910937641126,0.1595094484233245910937641126,0.0631829296586019,7.7064701432387283291360504841,88.45069047130405132619312565,87.67449362665968986781445234,1613319000
